CustomerID,SumTotalSale,AvgUnitPrice,AvgQuantity,Segment
12347,4309.999999999997,2.644010989010989,13.505494505494505,£1k - £5k
12348,1437.24,0.6929629629629629,86.37037037037037,£1k - £5k
12349,1457.55,4.237500000000001,8.75,£1k - £5k
12350,294.40000000000003,1.58125,12.25,< £1k
12352,1265.41,3.934523809523806,5.511904761904762,£1k - £5k
12353,89.0,6.074999999999999,5.0,< £1k
12354,1079.4,4.503793103448273,9.137931034482758,£1k - £5k
12355,459.4,4.203846153846154,18.46153846153846,< £1k
12356,2487.430000000001,2.94603448275862,27.120689655172413,£1k - £5k
12357,6207.669999999996,3.3486259541984684,20.671755725190838,£5k - £10k
12358,928.06,4.541764705882354,14.235294117647058,< £1k
12359,6245.530000000006,8.760275590551185,6.346456692913386,£5k - £10k
12360,2302.0600000000004,2.681825396825395,9.174603174603174,£1k - £5k
12361,174.89999999999998,2.038888888888889,10.0,< £1k
12362,4665.580000000002,3.5238257575757586,8.257575757575758,£1k - £5k
12363,552.0,2.311739130434783,17.73913043478261,< £1k
12364,1208.1000000000001,1.2638271604938278,18.506172839506174,£1k - £5k
12365,320.69,2.696190476190477,8.238095238095237,< £1k
12367,150.9,1.7200000000000002,17.2,< £1k
12370,3425.689999999998,2.576204819277108,14.156626506024097,£1k - £5k
12371,1527.9600000000003,3.2916129032258072,9.387096774193548,£1k - £5k
12372,1196.04,2.1442857142857155,16.081632653061224,£1k - £5k
12373,324.6,1.8576923076923073,15.076923076923077,< £1k
12374,622.93,3.1015624999999996,10.59375,< £1k
12375,375.42000000000013,2.4749999999999996,10.9375,< £1k
12377,1548.1199999999997,2.2282894736842094,12.394736842105264,£1k - £5k
12378,4008.6200000000013,2.9974429223744297,11.547945205479452,£1k - £5k
12379,775.2899999999996,2.220512820512821,10.282051282051283,< £1k
12380,2423.56,2.837920792079207,10.98019801980198,£1k - £5k
12381,1433.4600000000005,3.3318604651162773,8.976744186046512,£1k - £5k
12383,1617.3099999999995,2.43536842105263,15.947368421052632,£1k - £5k
12384,406.16,5.259642857142857,4.178571428571429,< £1k
12386,401.90000000000003,2.391,35.4,< £1k
12388,2780.6600000000003,2.7776999999999985,14.62,£1k - £5k
12390,504.84,3.6419354838709683,11.290322580645162,< £1k
12391,460.88999999999993,2.4599,3.0,< £1k
12393,1582.6000000000004,2.279687500000001,12.75,£1k - £5k
12394,1080.48,2.3204,32.32,£1k - £5k
12395,2662.2799999999984,2.9972108843537395,14.231292517006803,£1k - £5k
12397,2214.9,3.282258064516127,10.080645161290322,£1k - £5k
12398,1435.6599999999999,1.5402380952380959,16.535714285714285,£1k - £5k
12399,1033.65,1.1774545454545453,21.327272727272728,£1k - £5k
